;customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges
1111;9763-PDTKK;Female;0;No;No;4;Yes;No;Fiber optic;Yes;No;Yes;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);94.4;387.2
5917;5144-PQCDZ;Male;0;No;No;4;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;19.95;59.25
5826;9507-EXLTT;Female;0;Yes;No;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);79.35;79.35
2602;1135-HIORI;Female;0;Yes;Yes;64;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;111.45;7266.95
2744;0815-MFZGM;Female;0;Yes;No;42;Yes;No;Fiber optic;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);99.0;4135
3991;1731-TVIUK;Female;0;No;No;4;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;Yes;Month-to-month;Yes;Electronic check;93.5;362.2
108;8597-CWYHH;Male;0;No;No;43;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;One year;No;Mailed check;94.35;3921.3
138;6217-KDYWC;Male;0;No;Yes;57;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;19.6;1170.55
211;4195-NZGTA;Female;0;No;No;1;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;25.25;25.25
5509;1809-DMJHQ;Female;0;No;Yes;5;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;46.0;221.7
2531;3612-YVGSJ;Female;0;Yes;No;71;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);24.45;1681.6
4726;2192-CKRLV;Female;0;Yes;No;72;No;No phone service;DSL;Yes;Yes;Yes;No;No;Yes;Two year;Yes;Electronic check;49.2;3580.95
663;9565-FLVCG;Male;0;Yes;Yes;65;Yes;Yes;DSL;Yes;Yes;No;No;No;Yes;Two year;Yes;Mailed check;69.55;4459.15
3942;6959-UWKHF;Male;0;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;42.9;42.9
3492;0975-VOOVL;Female;0;No;No;3;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Mailed check;29.2;98.5
2367;0235-KGSLC;Female;0;No;No;1;Yes;No;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Credit card (automatic);85.55;85.55
2013;7328-OWMOM;Female;0;No;Yes;31;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);20.1;589.25
6074;3797-VTIDR;Male;0;Yes;No;1;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;23.45;23.45
6218;8821-KVZKQ;Female;0;Yes;Yes;70;No;No phone service;DSL;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);58.4;4113.15
6854;9700-ZCLOT;Male;0;No;No;2;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.0;32.7
6369;6734-FQAJX;Male;1;No;No;67;Yes;No;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Two year;Yes;Electronic check;105.05;7171.7
320;5020-ZSTTY;Female;1;No;No;54;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;Yes;One year;No;Bank transfer (automatic);82.45;4350.1
5409;6005-OBZPH;Female;1;No;No;26;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;89.15;2277.65
941;0811-GSDTP;Female;0;No;Yes;13;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;30.15;382.2
6294;6615-ZGEDR;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19.7;19.7
